,Conditions,DateUTC,Dew PointF,Events,Gust SpeedMPH,Humidity,PrecipitationIn,Sea Level PressureIn,TemperatureF,TimeCDT,TimeCST,VisibilityMPH,Wind Direction,Wind SpeedMPH,WindDirDegrees,City,State,Zip
4,Overcast,2016-01-02 10:53:00,26.1,,-,58,N/A,30.44,39.9,,4:53 AM,10.0,NNE,5.8,20,Dallas,Texas,75201
5,Overcast,2016-01-02 11:53:00,25.0,,-,57,N/A,30.43,39.0,,5:53 AM,10.0,NNW,5.8,340,Dallas,Texas,75201
6,Mostly Cloudy,2016-01-02 12:53:00,26.1,,-,60,N/A,30.45,39.0,,6:53 AM,10.0,Calm,Calm,0,Dallas,Texas,75201
7,Overcast,2016-01-02 13:53:00,27.0,,-,60,N/A,30.46,39.9,,7:53 AM,10.0,NNW,3.5,340,Dallas,Texas,75201
8,Overcast,2016-01-02 14:53:00,28.0,,-,60,N/A,30.49,41.0,,8:53 AM,10.0,WNW,4.6,290,Dallas,Texas,75201
9,Overcast,2016-01-02 15:53:00,28.0,,-,58,N/A,30.48,42.1,,9:53 AM,10.0,NNW,3.5,330,Dallas,Texas,75201
10,Overcast,2016-01-02 16:53:00,27.0,,-,51,N/A,30.47,44.1,,10:53 AM,10.0,NW,4.6,310,Dallas,Texas,75201
11,Overcast,2016-01-02 17:53:00,25.0,,-,44,N/A,30.42,46.0,,11:53 AM,10.0,NW,5.8,310,Dallas,Texas,75201
12,Overcast,2016-01-02 18:53:00,24.1,,-,39,N/A,30.38,48.0,,12:53 PM,10.0,NW,3.5,320,Dallas,Texas,75201
13,Overcast,2016-01-02 19:53:00,21.9,,-,36,N/A,30.34,48.0,,1:53 PM,10.0,SW,3.5,230,Dallas,Texas,75201
14,Overcast,2016-01-02 20:53:00,21.9,,-,36,N/A,30.34,48.0,,2:53 PM,10.0,Variable,3.5,0,Dallas,Texas,75201
15,Overcast,2016-01-02 21:53:00,21.9,,-,35,N/A,30.32,48.9,,3:53 PM,10.0,Calm,Calm,0,Dallas,Texas,75201
16,Overcast,2016-01-02 22:53:00,23.0,,-,36,N/A,30.32,48.9,,4:53 PM,10.0,Calm,Calm,0,Dallas,Texas,75201
17,Overcast,2016-01-02 23:53:00,23.0,,-,36,N/A,30.32,48.9,,5:53 PM,10.0,Calm,Calm,0,Dallas,Texas,75201
18,Overcast,2016-01-03 00:53:00,24.1,,-,39,N/A,30.32,48.0,,6:53 PM,10.0,SSW,3.5,200,Dallas,Texas,75201
19,Overcast,2016-01-03 01:53:00,26.1,,-,44,N/A,30.32,46.9,,7:53 PM,10.0,SSW,3.5,200,Dallas,Texas,75201
20,Overcast,2016-01-03 02:53:00,28.0,,-,48,N/A,30.31,46.9,,8:53 PM,10.0,SSW,5.8,210,Dallas,Texas,75201
21,Overcast,2016-01-03 03:53:00,30.9,,-,56,N/A,30.30,46.0,,9:53 PM,10.0,WSW,5.8,240,Dallas,Texas,75201
22,Overcast,2016-01-03 04:53:00,32.0,,-,58,N/A,30.30,46.0,,10:53 PM,10.0,WSW,3.5,240,Dallas,Texas,75201
23,Mostly Cloudy,2016-01-03 05:53:00,28.9,,-,53,N/A,30.29,45.0,,11:53 PM,10.0,West,3.5,280,Dallas,Texas,75201
0,Scattered Clouds,2016-01-03 06:53:00,30.0,,-,58,N/A,30.27,44.1,,12:53 AM,10.0,WSW,4.6,250,Dallas,Texas,75201
1,Partly Cloudy,2016-01-03 07:53:00,30.9,,-,65,N/A,30.27,42.1,,1:53 AM,10.0,Calm,Calm,0,Dallas,Texas,75201
2,Partly Cloudy,2016-01-03 08:53:00,30.9,,-,70,N/A,30.27,39.9,,2:53 AM,10.0,Calm,Calm,0,Dallas,Texas,75201
3,Clear,2016-01-03 09:53:00,30.9,,-,82,N/A,30.27,36.0,,3:53 AM,10.0,Calm,Calm,0,Dallas,Texas,75201
4,Clear,2016-01-03 10:53:00,30.9,,-,76,N/A,30.27,37.9,,4:53 AM,10.0,Calm,Calm,0,Dallas,Texas,75201
5,Clear,2016-01-03 11:53:00,30.0,,-,79,N/A,30.28,36.0,,5:53 AM,10.0,Calm,Calm,0,Dallas,Texas,75201
6,Partly Cloudy,2016-01-03 12:53:00,28.9,,-,82,N/A,30.29,34.0,,6:53 AM,10.0,North,3.5,350,Dallas,Texas,75201
7,Clear,2016-01-03 13:53:00,30.9,,-,85,N/A,30.29,35.1,,7:53 AM,10.0,NW,4.6,310,Dallas,Texas,75201
8,Clear,2016-01-03 14:53:00,33.1,,-,77,N/A,30.30,39.9,,8:53 AM,10.0,WNW,4.6,300,Dallas,Texas,75201
9,Clear,2016-01-03 15:53:00,33.1,,-,68,N/A,30.31,43.0,,9:53 AM,10.0,NW,6.9,310,Dallas,Texas,75201
10,Clear,2016-01-03 16:53:00,33.1,,-,59,N/A,30.30,46.9,,10:53 AM,10.0,WNW,4.6,300,Dallas,Texas,75201
11,Partly Cloudy,2016-01-03 17:53:00,30.9,,-,46,N/A,30.28,51.1,,11:53 AM,10.0,West,4.6,280,Dallas,Texas,75201
12,Partly Cloudy,2016-01-03 18:53:00,30.9,,-,40,N/A,30.25,55.0,,12:53 PM,10.0,WNW,5.8,300,Dallas,Texas,75201
13,Partly Cloudy,2016-01-03 19:53:00,28.9,,-,34,N/A,30.22,57.0,,1:53 PM,10.0,WNW,9.2,300,Dallas,Texas,75201
14,Partly Cloudy,2016-01-03 20:53:00,30.0,,-,33,N/A,30.22,59.0,,2:53 PM,10.0,NW,8.1,310,Dallas,Texas,75201
15,Clear,2016-01-03 21:53:00,30.9,,-,36,N/A,30.23,57.9,,3:53 PM,10.0,North,11.5,360,Dallas,Texas,75201
16,Clear,2016-01-03 22:53:00,21.0,,-,26,N/A,30.24,55.9,,4:53 PM,10.0,North,15.0,350,Dallas,Texas,75201
17,Clear,2016-01-03 23:53:00,27.0,,-,39,N/A,30.24,51.1,,5:53 PM,10.0,NNW,8.1,340,Dallas,Texas,75201
18,Clear,2016-01-04 00:53:00,28.9,,-,46,N/A,30.27,48.9,,6:53 PM,10.0,North,6.9,360,Dallas,Texas,75201
19,Clear,2016-01-04 01:53:00,30.0,,-,56,N/A,30.28,45.0,,7:53 PM,10.0,North,4.6,350,Dallas,Texas,75201
20,Clear,2016-01-04 02:53:00,30.0,,-,58,N/A,30.30,44.1,,8:53 PM,10.0,NNW,4.6,340,Dallas,Texas,75201
21,Clear,2016-01-04 03:53:00,27.0,,-,49,N/A,30.30,45.0,,9:53 PM,10.0,North,6.9,360,Dallas,Texas,75201
22,Clear,2016-01-04 04:53:00,28.0,,-,56,N/A,30.30,43.0,,10:53 PM,10.0,North,5.8,360,Dallas,Texas,75201
23,Clear,2016-01-04 05:53:00,28.0,,-,60,N/A,30.31,41.0,,11:53 PM,10.0,North,5.8,10,Dallas,Texas,75201
0,Clear,2016-01-04 06:53:00,28.0,,-,70,N/A,30.31,37.0,,12:53 AM,10.0,NNW,4.6,340,Dallas,Texas,75201
1,Clear,2016-01-04 07:53:00,28.9,,-,70,N/A,30.31,37.9,,1:53 AM,10.0,NW,4.6,320,Dallas,Texas,75201
2,Clear,2016-01-04 08:53:00,28.0,,-,79,N/A,30.32,34.0,,2:53 AM,10.0,NNW,5.8,330,Dallas,Texas,75201
3,Clear,2016-01-04 09:53:00,28.0,,-,79,N/A,30.32,34.0,,3:53 AM,10.0,North,5.8,360,Dallas,Texas,75201
4,Clear,2016-01-04 10:53:00,28.0,,-,82,N/A,30.31,33.1,,4:53 AM,10.0,NNW,4.6,340,Dallas,Texas,75201
5,Clear,2016-01-04 11:53:00,27.0,,-,82,N/A,30.33,32.0,,5:53 AM,10.0,NNW,4.6,330,Dallas,Texas,75201
6,Clear,2016-01-04 12:53:00,27.0,,-,85,N/A,30.36,30.9,,6:53 AM,10.0,NNW,3.5,330,Dallas,Texas,75201
7,Partly Cloudy,2016-01-04 13:53:00,27.0,,-,82,N/A,30.39,32.0,,7:53 AM,10.0,NNW,5.8,340,Dallas,Texas,75201
8,Clear,2016-01-04 14:53:00,28.9,,-,76,N/A,30.41,36.0,,8:53 AM,10.0,North,5.8,350,Dallas,Texas,75201
9,Clear,2016-01-04 15:53:00,30.0,,-,68,N/A,30.42,39.9,,9:53 AM,10.0,Variable,4.6,0,Dallas,Texas,75201
10,Partly Cloudy,2016-01-04 16:53:00,30.9,,-,56,N/A,30.42,46.0,,10:53 AM,10.0,Calm,Calm,0,Dallas,Texas,75201
11,Partly Cloudy,2016-01-04 17:53:00,28.0,,-,48,N/A,30.39,46.9,,11:53 AM,10.0,Variable,4.6,0,Dallas,Texas,75201
12,Partly Cloudy,2016-01-04 18:53:00,28.9,,-,44,N/A,30.36,50.0,,12:53 PM,10.0,NNE,3.5,30,Dallas,Texas,75201
13,Partly Cloudy,2016-01-04 19:53:00,28.9,,-,41,N/A,30.33,52.0,,1:53 PM,10.0,ENE,9.2,60,Dallas,Texas,75201
14,Partly Cloudy,2016-01-04 20:53:00,28.9,,-,41,N/A,30.31,52.0,,2:53 PM,10.0,NE,3.5,50,Dallas,Texas,75201
15,Partly Cloudy,2016-01-04 21:53:00,28.9,,-,40,N/A,30.31,53.1,,3:53 PM,10.0,East,8.1,80,Dallas,Texas,75201
16,Partly Cloudy,2016-01-04 22:53:00,28.0,,-,41,N/A,30.30,51.1,,4:53 PM,10.0,ENE,9.2,70,Dallas,Texas,75201
17,Partly Cloudy,2016-01-04 23:53:00,28.9,,-,48,N/A,30.31,48.0,,5:53 PM,10.0,ENE,3.5,60,Dallas,Texas,75201
18,Partly Cloudy,2016-01-05 00:53:00,30.0,,-,52,N/A,30.32,46.9,,6:53 PM,10.0,ENE,3.5,70,Dallas,Texas,75201
19,Clear,2016-01-05 01:53:00,32.0,,-,65,N/A,30.34,43.0,,7:53 PM,10.0,ENE,4.6,60,Dallas,Texas,75201
20,Clear,2016-01-05 02:53:00,32.0,,-,70,N/A,30.34,41.0,,8:53 PM,10.0,ENE,5.8,60,Dallas,Texas,75201
0,Scattered Clouds,2016-01-05 07:53:00,28.9,,-,70,N/A,30.33,37.9,,1:53 AM,10.0,ESE,12.7,110,Dallas,Texas,75201
1,Scattered Clouds,2016-01-05 08:53:00,28.9,,-,76,N/A,30.35,36.0,,2:53 AM,10.0,ESE,16.1,110,Dallas,Texas,75201
2,Mostly Cloudy,2016-01-05 09:53:00,28.0,,-,76,N/A,30.36,35.1,,3:53 AM,10.0,ESE,12.7,110,Dallas,Texas,75201
3,Mostly Cloudy,2016-01-05 10:53:00,28.0,,-,79,N/A,30.38,34.0,,4:53 AM,10.0,East,11.5,100,Dallas,Texas,75201
4,Scattered Clouds,2016-01-05 11:53:00,27.0,,-,78,N/A,30.38,33.1,,5:53 AM,10.0,East,13.8,100,Dallas,Texas,75201
5,Mostly Cloudy,2016-01-05 12:53:00,27.0,,-,82,N/A,30.40,32.0,,6:53 AM,10.0,ESE,9.2,110,Dallas,Texas,75201
6,Mostly Cloudy,2016-01-05 13:53:00,27.0,,-,85,N/A,30.41,30.9,,7:53 AM,10.0,ESE,13.8,110,Dallas,Texas,75201
7,Mostly Cloudy,2016-01-05 14:53:00,26.1,,-,79,N/A,30.42,32.0,,8:53 AM,10.0,ESE,12.7,110,Dallas,Texas,75201
8,Mostly Cloudy,2016-01-05 15:53:00,26.1,,-,75,N/A,30.43,33.1,,9:53 AM,10.0,ESE,13.8,110,Dallas,Texas,75201
9,Mostly Cloudy,2016-01-05 16:53:00,27.0,,-,72,N/A,30.40,35.1,,10:53 AM,10.0,ESE,10.4,120,Dallas,Texas,75201
10,Mostly Cloudy,2016-01-05 17:53:00,28.0,,-,68,N/A,30.38,37.9,,11:53 AM,10.0,SE,9.2,130,Dallas,Texas,75201
11,Mostly Cloudy,2016-01-05 18:53:00,28.9,,-,62,N/A,30.33,41.0,,12:53 PM,10.0,Variable,5.8,0,Dallas,Texas,75201
12,Mostly Cloudy,2016-01-05 19:53:00,28.9,,-,60,N/A,30.29,42.1,,1:53 PM,10.0,Variable,3.5,0,Dallas,Texas,75201
13,Mostly Cloudy,2016-01-05 20:53:00,28.9,,-,55,N/A,30.27,44.1,,2:53 PM,10.0,Variable,4.6,0,Dallas,Texas,75201
14,Scattered Clouds,2016-01-05 21:53:00,28.9,,-,55,N/A,30.26,44.1,,3:53 PM,10.0,Calm,Calm,0,Dallas,Texas,75201
15,Mostly Cloudy,2016-01-05 22:53:00,30.0,,-,58,N/A,30.25,44.1,,4:53 PM,8.0,East,5.8,90,Dallas,Texas,75201
16,Mostly Cloudy,2016-01-05 23:53:00,28.9,,-,55,N/A,30.25,44.1,,5:53 PM,10.0,ESE,8.1,120,Dallas,Texas,75201
17,Overcast,2016-01-06 00:53:00,30.0,,-,60,N/A,30.26,43.0,,6:53 PM,10.0,ESE,4.6,120,Dallas,Texas,75201
18,Overcast,2016-01-06 01:53:00,30.0,,-,60,N/A,30.26,43.0,,7:53 PM,10.0,East,8.1,100,Dallas,Texas,75201
19,Overcast,2016-01-06 02:53:00,28.9,,-,60,N/A,30.26,42.1,,8:53 PM,10.0,SE,11.5,130,Dallas,Texas,75201
20,Mostly Cloudy,2016-01-06 03:53:00,28.9,,-,62,N/A,30.27,41.0,,9:53 PM,10.0,SE,11.5,130,Dallas,Texas,75201
21,Overcast,2016-01-06 04:53:00,28.9,,-,60,N/A,30.26,42.1,,10:53 PM,10.0,SE,9.2,130,Dallas,Texas,75201
22,Overcast,2016-01-06 05:53:00,28.9,,-,60,N/A,30.24,42.1,,11:53 PM,10.0,SE,13.8,130,Dallas,Texas,75201
0,Overcast,2016-01-06 06:53:00,28.9,,-,60,N/A,30.22,42.1,,12:53 AM,10.0,SE,10.4,140,Dallas,Texas,75201
1,Overcast,2016-01-06 07:53:00,30.0,,-,62,N/A,30.22,42.1,,1:53 AM,10.0,SE,11.5,140,Dallas,Texas,75201
2,Overcast,2016-01-06 08:53:00,30.0,,-,65,N/A,30.21,41.0,,2:53 AM,10.0,SE,10.4,140,Dallas,Texas,75201
3,Overcast,2016-01-06 09:53:00,30.9,,-,67,N/A,30.20,41.0,,3:53 AM,10.0,SE,6.9,130,Dallas,Texas,75201
4,Overcast,2016-01-06 10:53:00,30.9,,-,67,N/A,30.18,41.0,,4:53 AM,10.0,ESE,9.2,120,Dallas,Texas,75201
5,Overcast,2016-01-06 11:53:00,30.9,,-,65,N/A,30.17,42.1,,5:53 AM,10.0,SE,9.2,130,Dallas,Texas,75201
6,Overcast,2016-01-06 12:28:00,32.0,,-,70,N/A,30.18,41.0,,6:28 AM,10.0,SE,10.4,130,Dallas,Texas,75201
7,Overcast,2016-01-06 12:53:00,33.1,,-,73,N/A,30.19,41.0,,6:53 AM,10.0,SE,11.5,140,Dallas,Texas,75201
8,Overcast,2016-01-06 13:53:00,33.1,,-,70,N/A,30.18,42.1,,7:53 AM,9.0,SE,9.2,130,Dallas,Texas,75201
9,Overcast,2016-01-06 14:53:00,33.1,,-,70,N/A,30.19,42.1,,8:53 AM,10.0,SE,9.2,130,Dallas,Texas,75201
10,Overcast,2016-01-06 15:53:00,34.0,,-,71,N/A,30.20,43.0,,9:53 AM,10.0,SE,9.2,130,Dallas,Texas,75201
11,Overcast,2016-01-06 16:53:00,34.0,,-,68,N/A,30.19,44.1,,10:53 AM,10.0,ESE,9.2,120,Dallas,Texas,75201
12,Overcast,2016-01-06 17:53:00,35.1,,-,68,N/A,30.15,45.0,,11:53 AM,10.0,ESE,9.2,110,Dallas,Texas,75201
13,Overcast,2016-01-06 18:33:00,36.0,,-,68,N/A,30.12,46.0,,12:33 PM,10.0,SE,9.2,130,Dallas,Texas,75201
14,Overcast,2016-01-06 18:53:00,37.9,,-,73,N/A,30.11,46.0,,12:53 PM,10.0,SSE,9.2,150,Dallas,Texas,75201
15,Overcast,2016-01-06 19:42:00,39.0,,-,76,0.00,30.07,46.0,,1:42 PM,10.0,ESE,9.2,120,Dallas,Texas,75201
16,Overcast,2016-01-06 19:53:00,39.0,,-,74,0.00,30.06,46.9,,1:53 PM,10.0,SE,8.1,130,Dallas,Texas,75201
17,Overcast,2016-01-06 20:53:00,37.9,,-,68,N/A,30.04,48.0,,2:53 PM,9.0,SE,9.2,130,Dallas,Texas,75201
18,Overcast,2016-01-06 21:53:00,39.0,,-,69,N/A,30.02,48.9,,3:53 PM,10.0,SE,12.7,130,Dallas,Texas,75201
19,Overcast,2016-01-06 22:53:00,41.0,,-,74,N/A,30.02,48.9,,4:53 PM,10.0,ESE,9.2,120,Dallas,Texas,75201
20,Overcast,2016-01-06 23:53:00,42.1,,-,80,N/A,30.01,48.0,,5:53 PM,10.0,ESE,10.4,120,Dallas,Texas,75201
21,Overcast,2016-01-07 00:53:00,42.1,,-,83,0.00,29.99,46.9,,6:53 PM,10.0,East,10.4,100,Dallas,Texas,75201
22,Light Rain,2016-01-07 01:42:00,43.0,Rain,-,86,N/A,29.98,46.9,,7:42 PM,6.0,East,13.8,100,Dallas,Texas,75201
23,Light Rain,2016-01-07 01:53:00,43.0,Rain,-,86,N/A,29.99,46.9,,7:53 PM,6.0,East,6.9,100,Dallas,Texas,75201
24,Heavy Rain,2016-01-07 02:04:00,44.1,Rain,-,93,0.04,29.98,46.0,,8:04 PM,3.0,East,8.1,100,Dallas,Texas,75201
25,Heavy Rain,2016-01-07 02:08:00,44.1,Rain,-,93,0.08,29.97,46.0,,8:08 PM,2.0,East,11.5,90,Dallas,Texas,75201
26,Heavy Rain,2016-01-07 02:10:00,44.1,Rain,-,93,0.13,29.97,46.0,,8:10 PM,1.8,East,11.5,90,Dallas,Texas,75201
27,Rain,2016-01-07 02:19:00,44.1,Rain,-,93,0.25,30.02,46.0,,8:19 PM,2.0,West,12.7,270,Dallas,Texas,75201
28,Heavy Rain,2016-01-07 02:24:00,44.1,Rain,18.4,93,0.33,30.01,46.0,,8:24 PM,1.8,WNW,10.4,290,Dallas,Texas,75201
29,Heavy Rain,2016-01-07 02:31:00,45.0,Rain,-,96,0.40,30.03,46.0,,8:31 PM,1.8,WSW,11.5,250,Dallas,Texas,75201
30,Heavy Rain,2016-01-07 02:53:00,45.0,Rain,-,96,N/A,30.03,46.0,,8:53 PM,1.0,NNE,4.6,20,Dallas,Texas,75201
31,Heavy Rain,2016-01-07 03:17:00,45.0,Rain,-,96,0.19,30.00,46.0,,9:17 PM,3.0,East,10.4,80,Dallas,Texas,75201
32,Heavy Rain,2016-01-07 03:53:00,45.0,Rain,-,96,0.30,29.95,46.0,,9:53 PM,4.0,East,12.7,80,Dallas,Texas,75201
33,Overcast,2016-01-07 04:24:00,45.0,,-,93,0.04,29.97,46.9,,10:24 PM,10.0,SE,6.9,140,Dallas,Texas,75201
34,Light Rain,2016-01-07 04:45:00,45.0,Rain,-,93,0.05,29.97,46.9,,10:45 PM,9.0,ESE,6.9,110,Dallas,Texas,75201
35,Light Rain,2016-01-07 04:53:00,45.0,Rain,-,93,0.05,29.97,46.9,,10:53 PM,10.0,ESE,6.9,120,Dallas,Texas,75201
36,Overcast,2016-01-07 05:34:00,45.0,,-,93,0.00,29.96,46.9,,11:34 PM,10.0,SE,4.6,130,Dallas,Texas,75201
37,Light Rain,2016-01-07 05:47:00,44.6,Rain,-,93,0.02,29.96,46.4,,11:47 PM,10.0,SE,5.8,130,Dallas,Texas,75201
38,Light Rain,2016-01-07 05:53:00,45.0,Rain,-,93,0.03,29.96,46.9,,11:53 PM,10.0,SE,5.8,140,Dallas,Texas,75201
0,Overcast,2016-01-07 06:01:00,45.0,,-,93,0.00,29.95,46.9,,12:01 AM,10.0,Calm,Calm,0,Dallas,Texas,75201
1,Light Rain,2016-01-07 06:28:00,46.0,Rain,-,97,0.00,29.94,46.9,,12:28 AM,8.0,SE,3.5,130,Dallas,Texas,75201
2,Light Rain,2016-01-07 06:53:00,46.0,Rain,-,97,0.03,29.93,46.9,,12:53 AM,5.0,SE,4.6,130,Dallas,Texas,75201
3,Light Rain,2016-01-07 07:24:00,46.9,Rain,-,100,0.03,29.93,46.9,,1:24 AM,2.0,SSW,3.5,210,Dallas,Texas,75201
4,Light Rain,2016-01-07 07:38:00,46.9,Rain,-,100,0.04,29.92,46.9,,1:38 AM,1.5,Calm,Calm,0,Dallas,Texas,75201
5,Light Rain,2016-01-07 07:53:00,46.9,Rain,-,100,0.05,29.92,46.9,,1:53 AM,1.5,Calm,Calm,0,Dallas,Texas,75201
6,Overcast,2016-01-07 08:50:00,46.4,,-,93,0.01,29.90,48.2,,2:50 AM,2.5,SE,8.1,140,Dallas,Texas,75201
7,Overcast,2016-01-07 08:53:00,46.9,,-,96,0.01,29.89,48.0,,2:53 AM,2.5,ESE,10.4,120,Dallas,Texas,75201
8,Light Rain,2016-01-07 09:12:00,48.0,Rain,-,100,0.02,29.89,48.0,,3:12 AM,4.0,South,3.5,180,Dallas,Texas,75201
9,Overcast,2016-01-07 09:53:00,48.0,,-,100,0.02,29.88,48.0,,3:53 AM,5.0,Calm,Calm,0,Dallas,Texas,75201
10,Overcast,2016-01-07 10:34:00,48.0,,-,97,N/A,29.87,48.9,,4:34 AM,1.2,Calm,Calm,0,Dallas,Texas,75201
11,Fog,2016-01-07 10:49:00,48.2,Fog,-,100,N/A,29.87,48.2,,4:49 AM,0.5,Calm,Calm,0,Dallas,Texas,75201
12,Fog,2016-01-07 10:53:00,48.0,Fog,-,97,N/A,29.87,48.9,,4:53 AM,0.5,Calm,Calm,0,Dallas,Texas,75201
13,Fog,2016-01-07 11:18:00,48.9,Fog,-,100,N/A,29.87,48.9,,5:18 AM,0.2,South,3.5,180,Dallas,Texas,75201
14,Fog,2016-01-07 11:45:00,48.9,Fog,-,100,N/A,29.87,48.9,,5:45 AM,0.5,South,4.6,180,Dallas,Texas,75201
15,Fog,2016-01-07 11:53:00,48.9,Fog,-,100,N/A,29.87,48.9,,5:53 AM,0.5,South,5.8,180,Dallas,Texas,75201
16,Overcast,2016-01-07 12:48:00,48.2,,-,100,N/A,29.87,48.2,,6:48 AM,1.0,South,6.9,170,Dallas,Texas,75201
17,Overcast,2016-01-07 12:53:00,50.0,,-,100,N/A,29.87,50.0,,6:53 AM,1.0,South,5.8,170,Dallas,Texas,75201
18,Overcast,2016-01-07 13:53:00,50.0,,-,100,0.00,29.87,50.0,,7:53 AM,1.2,South,11.5,180,Dallas,Texas,75201
19,Overcast,2016-01-07 14:53:00,50.0,,-,100,N/A,29.88,50.0,,8:53 AM,1.0,SSW,3.5,200,Dallas,Texas,75201
20,Overcast,2016-01-07 15:12:00,50.0,,-,100,N/A,29.88,50.0,,9:12 AM,2.0,South,6.9,190,Dallas,Texas,75201
21,Overcast,2016-01-07 15:51:00,50.0,,-,100,N/A,29.89,50.0,,9:51 AM,5.0,WSW,9.2,240,Dallas,Texas,75201
22,Overcast,2016-01-07 15:53:00,48.9,,-,96,N/A,29.89,50.0,,9:53 AM,5.0,WSW,9.2,240,Dallas,Texas,75201
23,Overcast,2016-01-07 16:14:00,48.9,,-,96,N/A,29.89,50.0,,10:14 AM,10.0,SSW,9.2,210,Dallas,Texas,75201
24,Overcast,2016-01-07 16:53:00,48.9,,-,96,N/A,29.88,50.0,,10:53 AM,7.0,SW,8.1,220,Dallas,Texas,75201
